                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    40          42      0.000663612              1       0.000676  
    41          43      0.000645178              1       0.000772  
    42          44      0.000625803              1        0.00127  
    43          45      0.000604837              1        0.00116  
    44          46      0.000585388              1       0.000999  
    45          47      0.000568722              1       0.000614  
    46          48      0.000553926              1       0.000941  
    47          49      0.000538736              1          0.001  
    48          50      0.000523907              1       0.000951  
    49          51      0.000511012              1        0.00069  
    50          52      0.000499759              1       0.000614  
    51          53      0.000488509              1        0.00072  
    52          54      0.000476981              1       0.000663  
    53          55      0.000465755              1       0.000508  
    54          56      0.000455485              1       0.000514  
    55          57      0.000445452              1       0.000739  
    56          58      0.000435204              1       0.000588  
    57          59      0.000425201              1       0.000621  
    58          60       0.00041636              1       0.000426  
    59          61      0.000408108              1       0.000461  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    60          62      0.000399828              1       0.000597  
    61          63      0.000391426              1       0.000604  
    62          64      0.000383801              1       0.000453  
    63          65      0.000376599              1       0.000434  
    64          66      0.000369181              1        0.00063  
    65          67      0.000360995              1       0.000683  
    66          68      0.000353189              1       0.000675  
    67          69      0.000346147              1       0.000419  
    68          70      0.000339623              1       0.000457  
    69          71      0.000332516              1       0.000635  
    70          72      0.000325056              1       0.000528  
    71          73      0.000317955              1       0.000638  
    72          74      0.000311661              1        0.00054  
    73          75      0.000305387              1       0.000444  
    74          76      0.000298553              1       0.000508  
    75          77      0.000290959              1       0.000576  
    76          78      0.000283262              1       0.000713  
    77          79      0.000275911              1        0.00047  
    78          80      0.000269319              1       0.000522  
    79          81      0.000262854              1       0.000439  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    80          82      0.000256573              1       0.000663  
    81          83      0.000249968              1       0.000604  
    82          84      0.000243706              1       0.000558  
    83          85      0.000237754              1       0.000545  
    84          86      0.000232305              1       0.000525  
    85          87      0.000226561              1       0.000589  
    86          88      0.000220488              1       0.000524  
    87          89      0.000214161              1       0.000639  
    88          90      0.000208138              1       0.000489  
    89          91      0.000202226              1       0.000653  
    90          92      0.000196513              1       0.000546  
    91          93      0.000190802              1       0.000548  
    92          94       0.00018548              1       0.000488  
    93          95      0.000180226              1       0.000495  
    94          96      0.000175434              1        0.00047  
    95          97      0.000170798              1       0.000411  
    96          98      0.000166898              1       0.000356  
    97          99      0.000163303              1       0.000363  
    98         100      0.000159905              1       0.000378  
    99         101      0.000156501              1       0.000359  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   100         102      0.000153414              1       0.000359  
   101         103      0.000150554              1       0.000291  
   102         104      0.000147648              1         0.0004  
   103         105      0.000144438              1       0.000456  
   104         106      0.000141332              1        0.00045  
   105         107      0.000138651              1       0.000296  
   106         108      0.000136279              1       0.000265  
   107         109      0.000133606              1       0.000457  
   108         110      0.000130645              1       0.000581  
   109         111      0.000127829              1        0.00042  
   110         112      0.000125483              1       0.000251  
   111         113       0.00012321              1       0.000265  
   112         114      0.000120697              1       0.000499  
   113         115      0.000118058              1        0.00048  
   114         116      0.000115729              1       0.000232  
   115         117      0.000113727              1       0.000206  
   116         118      0.000111748              1       0.000372  
   117         119      0.000109566              1       0.000474  
   118         120       0.00010737              1       0.000311  
   119         121      0.000105387              1       0.000232  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   120         122      0.000103554              1       0.000256  
   121         123      0.000101649              1       0.000383  
   122         124      9.96996e-05              1       0.000305  
   123         125       9.7824e-05              1       0.000206  
   124         126      9.60487e-05              1       0.000193  
   125         127      9.42237e-05              1       0.000352  
   126         128      9.23251e-05              1        0.00037  
   127         129      9.04184e-05              1       0.000293  
   128         130      8.86037e-05              1       0.000274  
   129         131      8.67968e-05              1       0.000314  
   130         132      8.50401e-05              1       0.000327  
   131         133      8.33695e-05              1       0.000195  
   132         134      8.18178e-05              1       0.000264  
   133         135      8.02566e-05              1       0.000249  
   134         136      7.86484e-05              1       0.000355  
   135         137      7.70856e-05              1       0.000276  
   136         138      7.56658e-05              1       0.000216  
   137         139      7.42787e-05              1       0.000196  
   138         140      7.27781e-05              1        0.00029  
   139         141      7.11561e-05              1       0.000303  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   140         142      6.95824e-05              1       0.000249  
   141         143      6.81757e-05              1       0.000254  
   142         144      6.68982e-05              1       0.000229  
   143         145      6.56359e-05              1       0.000275  
   144         146       6.4356e-05              1       0.000193  
   145         147      6.30575e-05              1       0.000238  
   146         148      6.17511e-05              1       0.000235  
   147         149      6.04392e-05              1        0.00027  
   148         150      5.91829e-05              1       0.000218  
   149         151      5.80158e-05              1       0.000182  
   150         152      5.69295e-05              1       0.000185  
   151         153      5.58254e-05              1       0.000217  
   152         154      5.47132e-05              1       0.000255  
   153         155      5.36531e-05              1       0.000268  
   154         156      5.27068e-05              1       0.000161  
   155         157      5.18201e-05              1       0.000184  
   156         158      5.09242e-05              1       0.000193  
   157         159      4.99902e-05              1       0.000283  
   158         160      4.90739e-05              1       0.000249  
   159         161      4.82196e-05              1       0.000173  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   160         162      4.74352e-05              1       0.000144  
   161         163      4.66946e-05              1       0.000174  
   162         164      4.59843e-05              1       0.000188  
   163         165      4.53048e-05              1       0.000116  
   164         166      4.46633e-05              1       0.000109  
   165         167      4.40419e-05              1       0.000134  
   166         168      4.34237e-05              1       0.000176  
   167         169      4.28057e-05              1       0.000129  
   168         170      4.22169e-05              1       0.000102  
   169         171      4.16746e-05              1       0.000143  
   170         172      4.11638e-05              1       0.000134  
   171         173      4.06398e-05              1       0.000132  
   172         174      4.00965e-05              1       0.000115  
   173         175       3.9564e-05              1       9.84e-05  
   174         176       3.9075e-05              1       0.000114  
   175         177      3.86073e-05              1       0.000113  
   176         178      3.81299e-05              1        0.00012  
   177         179      3.76405e-05              1       0.000102  
   178         180      3.71792e-05              1       0.000116  
   179         181      3.67421e-05              1       0.000111  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   180         182      3.62927e-05              1       0.000123  
   181         183      3.58103e-05              1       0.000127  
   182         184      3.53362e-05              1       0.000116  
   183         185      3.49049e-05              1       0.000108  
   184         186      3.45014e-05              1        8.8e-05  
   185         187      3.40863e-05              1        0.00011  
   186         188      3.36644e-05              1       0.000139  
   187         189      3.32738e-05              1       0.000132  
   188         190      3.29289e-05              1       8.91e-05  
   189         191      3.26014e-05              1       7.66e-05  
   190         192       3.2267e-05              1       0.000112  
   191         193      3.19268e-05              1       0.000117  
   192         194      3.15877e-05              1       0.000107  
   193         195      3.12418e-05              1       9.65e-05  
   194         196      3.08846e-05              1       9.84e-05  
   195         197      3.05246e-05              1       0.000114  
   196         198      3.01704e-05              1       0.000101  
   197         199      2.98083e-05              1       0.000104  
   198         200      2.94254e-05              1       0.000101  
   199         201      2.90297e-05              1       0.000121  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
