test_script
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
     3           6        0.0263155       0.565813         0.0414  
     4           7        0.0198034              1         0.0324  
     5           8          0.01559              1          0.019  
     6           9        0.0134195              1        0.00883  
     7          10        0.0118802              1         0.0101  
     8          11        0.0100739              1        0.00997  
     9          12       0.00878441              1        0.00939  
    10          13       0.00745503              1        0.00919  
    11          14       0.00646631              1         0.0125  
    12          15       0.00569458              1        0.00496  
    13          16       0.00502337              1        0.00655  
    14          17       0.00443539              1        0.00471  
    15          18        0.0040231              1        0.00332  
    16          19       0.00366875              1        0.00277  
    17          20       0.00334649              1        0.00418  
    18          21       0.00304421              1        0.00394  
    19          22       0.00277129              1        0.00338  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    20          23       0.00254229              1          0.003  
    21          24       0.00235922              1        0.00213  
    22          25       0.00221571              1        0.00214  
    23          26       0.00208944              1          0.002  
    24          27       0.00196709              1        0.00199  
    25          28       0.00186051              1        0.00217  
    26          29       0.00177595              1        0.00197  
    27          30       0.00170738              1        0.00191  
    28          31       0.00164647              1        0.00154  
    29          32       0.00158538              1        0.00156  
    30          33       0.00152672              1        0.00165  
    31          34       0.00147522              1        0.00131  
    32          35       0.00142358              1        0.00146  
    33          36        0.0013623              1         0.0014  
    34          37       0.00129432              1        0.00184  
    35          38       0.00122917              1        0.00137  
    36          39       0.00116995              1        0.00162  
    37          40       0.00111745              1        0.00107  
    38          41        0.0010698              1        0.00133  
    39          42       0.00102267              1        0.00111  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    40          43       0.00098112              1        0.00127  
    41          44      0.000947026              1       0.000865  
    42          45      0.000917416              1        0.00117  
    43          46      0.000890289              1        0.00103  
    44          47      0.000862434              1        0.00113  
    45          48      0.000833555              1       0.000754  
    46          49      0.000813506              1       0.000835  
    47          50      0.000789651              1       0.000809  
    48          51      0.000766102              1        0.00127  
    49          52      0.000741965              1        0.00128  
    50          53       0.00071921              1       0.000627  
    51          54      0.000698294              1       0.000724  
    52          55      0.000677428              1        0.00107  
    53          56      0.000656217              1        0.00122  
    54          57      0.000635913              1       0.000761  
    55          58      0.000617777              1       0.000671  
    56          59      0.000601164              1       0.000759  
    57          60      0.000585572              1        0.00108  
    58          61      0.000568732              1       0.000933  
    59          62      0.000551979              1       0.000658  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    60          63      0.000535555              1       0.000664  
    61          64      0.000520157              1       0.000918  
    62          65      0.000504179              1       0.000871  
    63          66      0.000488677              1       0.000565  
    64          67      0.000472203              1        0.00073  
    65          68      0.000456464              1        0.00068  
    66          69      0.000440129              1       0.000823  
    67          70      0.000425275              1       0.000635  
    68          71      0.000411655              1       0.000459  
    69          72      0.000400629              1       0.000709  
    70          73      0.000388866              1       0.000676  
    71          74        0.0003767              1       0.000672  
    72          75       0.00036359              1       0.000654  
    73          76      0.000353068              1       0.000406  
    74          77      0.000343593              1        0.00051  
    75          78      0.000335479              1       0.000453  
    76          79      0.000327304              1        0.00045  
    77          80      0.000319858              1       0.000424  
    78          81      0.000312464              1       0.000408  
    79          82      0.000305622              1       0.000382  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    80          83      0.000297999              1       0.000386  
    81          84      0.000290595              1       0.000394  
    82          85      0.000282878              1       0.000453  
    83          86      0.000275835              1       0.000321  
    84          87      0.000269025              1       0.000369  
    85          88      0.000262476              1       0.000389  
    86          89      0.000255333              1       0.000463  
    87          90      0.000248628              1       0.000638  
    88          91      0.000242398              1       0.000609  
    89          92      0.000236436              1       0.000436  
    90          93      0.000229243              1       0.000441  
    91          94      0.000222086              1       0.000524  
    92          95       0.00021493              1       0.000366  
    93          96      0.000208054              1       0.000347  
    94          97        0.0002016              1       0.000307  
    95          98      0.000195176              1       0.000424  
    96          99      0.000189263              1       0.000373  
    97         100      0.000183894              1       0.000339  
    98         101        0.0001791              1       0.000371  
    99         102      0.000174083              1       0.000438  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   100         103      0.000169365              1       0.000412  
   101         104      0.000165349              1       0.000251  
   102         105      0.000161799              1       0.000252  
   103         106      0.000158706              1       0.000239  
   104         107      0.000155683              1       0.000268  
   105         108      0.000152618              1       0.000278  
   106         109      0.000149673              1       0.000234  
   107         110      0.000147007              1       0.000234  
   108         111      0.000144666              1       0.000205  
   109         112      0.000142423              1       0.000202  
   110         113      0.000140193              1       0.000173  
   111         114      0.000137973              1       0.000191  
   112         115      0.000135873              1       0.000208  
   113         116      0.000133864              1       0.000198  
   114         117      0.000131939              1       0.000378  
   115         118      0.000130034              1       0.000268  
   116         119      0.000128191              1       0.000266  
   117         120      0.000126339              1       0.000239  
   118         121      0.000124407              1       0.000201  
   119         122      0.000122356              1       0.000224  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   120         123       0.00012036              1       0.000204  
   121         124      0.000118524              1       0.000168  
   122         125      0.000116787              1       0.000199  
   123         126      0.000115018              1       0.000259  
   124         127      0.000113197              1       0.000327  
   125         128      0.000111389              1       0.000223  
   126         129      0.000109681              1       0.000179  
   127         130       0.00010805              1       0.000193  
   128         131      0.000106435              1       0.000185  
   129         132      0.000104823              1       0.000157  
   130         133      0.000103266              1       0.000169  
   131         134      0.000101749              1        0.00017  
   132         135      0.000100282              1        0.00038  
   133         136      9.87077e-05              1       0.000196  
   134         137      9.70161e-05              1       0.000164  
   135         138      9.52737e-05              1       0.000225  
   136         139      9.37218e-05              1       0.000188  
   137         140      9.20659e-05              1        0.00019  
   138         141      9.05369e-05              1       0.000198  
   139         142      8.90824e-05              1       0.000185  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   140         143      8.77146e-05              1       0.000162  
   141         144      8.62749e-05              1        0.00019  
   142         145      8.47567e-05              1       0.000224  
   143         146      8.32569e-05              1       0.000133  
   144         147      8.19256e-05              1       0.000223  
   145         148       8.0742e-05              1       0.000381  
   146         149      7.95798e-05              1       0.000242  
   147         150      7.82619e-05              1       0.000208  
   148         151      7.67349e-05              1       0.000161  
   149         152      7.57381e-05              1       0.000156  
   150         153      7.44962e-05              1       0.000189  
   151         154      7.33313e-05              1       0.000206  
   152         155      7.21349e-05              1       0.000172  
   153         156      7.10619e-05              1       0.000134  
   154         157      7.00093e-05              1       0.000149  
   155         158      6.89328e-05              1       0.000163  
   156         159      6.77489e-05              1        0.00013  
   157         160      6.65791e-05              1       0.000159  
   158         161      6.54619e-05              1       0.000145  
   159         162        6.444e-05              1       0.000263  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   160         163      6.33762e-05              1       0.000142  
   161         164      6.22924e-05              1       0.000177  
   162         165      6.12528e-05              1       0.000149  
   163         166      6.03457e-05              1       0.000124  
   164         167      5.93975e-05              1       0.000128  
   165         168       5.8495e-05              1       0.000155  
   166         169      5.76042e-05              1       0.000159  
   167         170      5.67823e-05              1       0.000151  
   168         171      5.60237e-05              1       0.000111  
   169         172      5.53397e-05              1       0.000113  
   170         173      5.46831e-05              1       0.000127  
   171         174      5.40331e-05              1       0.000136  
   172         175       5.3354e-05              1        0.00013  
   173         176      5.26799e-05              1       0.000114  
   174         177      5.20457e-05              1       0.000131  
   175         178      5.14915e-05              1       0.000109  
   176         179      5.09359e-05              1        9.8e-05  
   177         180      5.03475e-05              1       0.000116  
   178         181      4.96978e-05              1       0.000141  
   179         182      4.90428e-05              1        0.00011  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   180         183      4.84143e-05              1       0.000119  
   181         184      4.78201e-05              1       0.000143  
   182         185      4.72142e-05              1       0.000131  
   183         186      4.65956e-05              1       0.000205  
   184         187      4.59651e-05              1       0.000101  
   185         188      4.53556e-05              1       0.000126  
   186         189      4.47314e-05              1       0.000127  
   187         190        4.412e-05              1       0.000131  
   188         191      4.34939e-05              1       0.000103  
   189         192      4.29345e-05              1       8.85e-05  
   190         193      4.24162e-05              1       0.000115  
   191         194       4.1944e-05              1       0.000104  
   192         195      4.14429e-05              1       8.72e-05  
   193         196      4.09501e-05              1       9.69e-05  
   194         197      4.04172e-05              1       0.000127  
   195         198      3.98736e-05              1        0.00013  
   196         199      3.93103e-05              1       0.000167  
   197         200      3.87776e-05              1        0.00012  
   198         201      3.82407e-05              1       0.000112  
